"Hyperparameters: —episodes 1e5 —seed 25 —learn_rate 0.01— e_init 1 —e_final 0 —discount 0.95
slippery = False",,
episode_num,total_reward,episode_length
779,0.0,6
780,0.0,21
781,0.0,3
782,0.0,6
783,0.0,2
784,0.0,2
785,0.0,2
786,0.0,6
787,0.0,8
788,0.0,26
789,0.0,4
790,0.0,2
791,0.0,7
792,0.0,2
793,0.0,2
794,0.0,3
795,0.0,5
796,0.0,15
797,0.0,7
798,0.0,5
799,0.0,8
800,0.0,17
801,0.0,8
802,0.0,5
803,0.0,4
804,0.0,3
805,0.0,8
806,0.0,27
807,0.0,4
808,0.0,4
809,0.0,4
810,0.0,6
811,0.0,9
812,0.0,2
813,0.0,10
814,0.0,12
815,0.0,2
816,0.0,4
817,0.0,2
818,0.0,8
819,0.0,4
820,1.0,8
821,0.0,14
822,0.0,4
823,0.0,9
824,0.0,14
825,0.0,4
826,0.0,11
827,0.0,16
828,0.0,4
829,0.0,2
830,0.0,3
831,0.0,4
832,0.0,7
833,0.0,5
834,0.0,5
835,0.0,5
836,0.0,9
837,0.0,3
838,0.0,9
839,0.0,9
840,0.0,4
841,0.0,2
842,0.0,5
843,0.0,2
844,0.0,6
845,0.0,4
846,0.0,15
847,0.0,7
848,0.0,5
849,0.0,17
850,0.0,4
851,0.0,12
852,0.0,21
853,0.0,10
854,0.0,13
855,0.0,9
856,0.0,28
857,0.0,8
858,0.0,2
859,0.0,13
860,0.0,3
861,0.0,5
862,0.0,7
863,0.0,4
864,0.0,9
865,0.0,5
866,0.0,8
867,0.0,3
868,0.0,3
869,0.0,7
870,0.0,3
871,0.0,7
872,0.0,18
873,0.0,17
874,0.0,19
875,0.0,15
876,0.0,4
877,0.0,12
878,0.0,2
879,1.0,10
880,0.0,2
881,0.0,13
882,0.0,5
883,0.0,2
884,0.0,6
885,0.0,4
886,0.0,3
887,1.0,15
888,0.0,22
889,0.0,8
890,0.0,12
891,0.0,7
892,0.0,10
893,0.0,3
894,0.0,8
895,0.0,5
896,0.0,4
897,0.0,6
898,0.0,10
899,0.0,7
900,0.0,16
901,0.0,12
902,0.0,2
903,0.0,4
904,1.0,13
905,0.0,2
906,0.0,7
907,0.0,3
908,0.0,4
909,0.0,5
910,0.0,8
911,0.0,21
912,0.0,4
913,0.0,2
914,0.0,7
915,0.0,7
916,0.0,4
917,0.0,3
918,0.0,3
919,0.0,2
920,0.0,3
921,0.0,10
922,0.0,5
923,0.0,7
924,0.0,8
925,0.0,11
926,0.0,8
927,0.0,14
928,0.0,8
929,0.0,2
930,0.0,11
931,0.0,3
932,0.0,4
933,0.0,11
934,0.0,3
935,0.0,17
936,0.0,2
937,0.0,12
938,0.0,10
939,0.0,16
940,0.0,4
941,0.0,16
942,0.0,4
943,0.0,3
944,0.0,2
945,0.0,8
946,0.0,10
947,0.0,2
948,0.0,8
949,0.0,2
950,1.0,19
951,0.0,15
952,0.0,6
953,0.0,9
954,0.0,7
955,0.0,3
956,0.0,9
957,0.0,4
958,0.0,7
959,0.0,4
960,0.0,9
961,0.0,15
962,0.0,9
963,0.0,4
964,0.0,7
965,0.0,20
966,0.0,7
967,0.0,4
968,0.0,2
969,0.0,4
970,0.0,8
971,0.0,11
972,0.0,2
973,0.0,3
974,0.0,6
975,0.0,6
976,0.0,2
977,0.0,2
978,0.0,7
979,0.0,7
980,0.0,7
981,0.0,3
982,0.0,4
983,0.0,5
984,0.0,2
985,0.0,7
986,0.0,4
987,0.0,12
988,0.0,9
989,0.0,3
990,0.0,14
991,0.0,7
992,0.0,5
993,0.0,5
994,0.0,2
995,0.0,3
996,1.0,9
997,0.0,8
998,0.0,4
999,0.0,10
1000,0.0,2
1001,0.0,11
1002,0.0,2
1003,0.0,22
1004,0.0,7
1005,0.0,3
1006,0.0,2
1007,0.0,7
1008,0.0,18
1009,0.0,3
1010,0.0,12
1011,0.0,7
1012,0.0,2
1013,0.0,9
1014,0.0,6
1015,0.0,5
1016,0.0,10
1017,0.0,2
1018,0.0,27
1019,0.0,17
1020,0.0,3
1021,0.0,4
1022,0.0,8
1023,0.0,2
1024,0.0,4
1025,0.0,22
1026,0.0,3
1027,0.0,10
1028,0.0,15
1029,0.0,2
1030,0.0,3
1031,0.0,10
1032,0.0,2
1033,0.0,6
1034,0.0,3
1035,0.0,10
1036,0.0,23
1037,0.0,12
1038,1.0,9
1039,0.0,5
1040,0.0,8
1041,0.0,3
1042,0.0,18
1043,0.0,3
1044,0.0,4
1045,0.0,10
1046,0.0,3
1047,0.0,2
1048,0.0,3
1049,0.0,6
1050,0.0,11
1051,0.0,8
1052,0.0,21
1053,0.0,5
1054,0.0,4
1055,0.0,4
1056,0.0,8
1057,0.0,9
1058,0.0,13
1059,0.0,12
1060,0.0,8
1061,0.0,4
1062,0.0,9
1063,0.0,10
1064,0.0,17
1065,0.0,15
1066,0.0,5
1067,0.0,3
1068,0.0,6
1069,0.0,15
1070,0.0,18
1071,0.0,14
1072,0.0,20
1073,0.0,5
1074,0.0,3
1075,0.0,12
1076,0.0,5
1077,0.0,3
1078,0.0,5
1079,0.0,3
1080,0.0,8
1081,0.0,2
1082,0.0,6
1083,0.0,7
1084,0.0,8
1085,0.0,4
1086,0.0,4
1087,0.0,8
1088,0.0,10
1089,0.0,3
1090,0.0,6
1091,0.0,2
1092,0.0,5
1093,0.0,3
1094,0.0,9
1095,0.0,3
1096,1.0,10
1097,0.0,8
1098,0.0,10
1099,0.0,3
1100,0.0,3
1101,0.0,11
1102,0.0,2
1103,0.0,20
1104,0.0,7
1105,0.0,7
1106,0.0,16
1107,0.0,2
1108,0.0,3
1109,0.0,6
1110,0.0,2
1111,0.0,10
1112,0.0,5
1113,0.0,10
1114,0.0,9
1115,0.0,3
1116,0.0,4
1117,0.0,2
1118,0.0,8
1119,0.0,12
1120,0.0,2
1121,0.0,4
1122,0.0,6
1123,0.0,3
1124,0.0,13
1125,0.0,2
1126,0.0,4
1127,0.0,2
1128,0.0,2
1129,0.0,4
1130,0.0,5
1131,0.0,15
1132,0.0,2
1133,0.0,8
1134,0.0,3
1135,0.0,2
1136,0.0,22
1137,0.0,6
1138,0.0,3
1139,0.0,3
1140,0.0,3
1141,0.0,5
1142,0.0,9
1143,0.0,11
1144,0.0,7
1145,0.0,5
1146,0.0,6
1147,0.0,10
1148,0.0,2
1149,0.0,7
1150,0.0,6
1151,0.0,11
1152,0.0,12
1153,0.0,12
1154,0.0,11
1155,0.0,2
1156,0.0,6
1157,0.0,4
1158,0.0,10
1159,0.0,3
1160,0.0,2
1161,0.0,4
1162,0.0,3
1163,0.0,5
1164,0.0,3
1165,0.0,2
1166,0.0,14
1167,0.0,10
1168,0.0,43
1169,0.0,9
1170,0.0,5
1171,0.0,6
1172,0.0,7
1173,0.0,3
1174,0.0,2
1175,0.0,9
1176,0.0,3
1177,0.0,2
1178,0.0,5
1179,0.0,2
1180,0.0,4
1181,0.0,5
1182,0.0,7
1183,0.0,3
1184,0.0,7
1185,0.0,3
1186,0.0,12
1187,0.0,3
1188,0.0,25
1189,0.0,8
1190,1.0,19
1191,0.0,6
1192,0.0,8
1193,0.0,2
1194,0.0,3
1195,0.0,3
1196,0.0,3
1197,0.0,6
1198,0.0,9
1199,0.0,5
1200,0.0,9
1201,0.0,21
1202,0.0,7
1203,0.0,5
1204,0.0,8
1205,0.0,6
1206,0.0,11
1207,0.0,10
1208,0.0,4
1209,0.0,2
1210,1.0,18
1211,0.0,8
1212,0.0,5
1213,0.0,9
1214,0.0,2
1215,0.0,9
1216,1.0,24
1217,0.0,3
1218,0.0,4
1219,1.0,15
1220,0.0,16
1221,0.0,6
1222,0.0,2
1223,0.0,5
1224,0.0,4
1225,0.0,6
1226,0.0,3
1227,0.0,5
1228,0.0,14
1229,0.0,4
1230,0.0,5
1231,0.0,4
1232,0.0,3
1233,0.0,4
1234,0.0,8
1235,0.0,13
1236,0.0,4
1237,0.0,4
1238,0.0,4
1239,0.0,10
1240,0.0,3
1241,0.0,10
1242,0.0,15
1243,0.0,7
1244,0.0,5
1245,0.0,2
1246,0.0,17
1247,0.0,6
1248,0.0,12
1249,0.0,7
1250,0.0,6
1251,0.0,14
1252,0.0,2
1253,0.0,7
1254,0.0,23
1255,0.0,3
1256,0.0,2
1257,0.0,16
1258,0.0,15
1259,0.0,3
1260,0.0,11
1261,0.0,4
1262,0.0,12
1263,0.0,7
1264,0.0,2
1265,0.0,5
1266,0.0,18
1267,0.0,12
1268,0.0,5
1269,0.0,4
1270,0.0,4
1271,0.0,3
1272,0.0,10
1273,0.0,4
1274,0.0,4
1275,0.0,4
1276,0.0,4
1277,0.0,18
1278,0.0,23
1279,0.0,5
1280,0.0,7
1281,0.0,5
1282,0.0,8
1283,0.0,8
1284,0.0,9
1285,0.0,7
1286,0.0,3
1287,0.0,10
1288,0.0,11
1289,0.0,5
1290,0.0,6
1291,0.0,2
1292,0.0,11
1293,0.0,5
1294,0.0,8
1295,0.0,8
1296,0.0,7
1297,0.0,7
1298,0.0,8
1299,0.0,11
1300,0.0,4
1301,0.0,6
1302,0.0,17
1303,0.0,11
1304,0.0,12
1305,0.0,11
1306,1.0,27
1307,0.0,8
1308,0.0,5
1309,0.0,7
1310,0.0,4
1311,1.0,12
1312,0.0,4
1313,0.0,14
1314,0.0,8
1315,0.0,3
1316,0.0,28
1317,0.0,5
1318,0.0,2
1319,0.0,10
1320,0.0,15
1321,0.0,6
1322,0.0,13
1323,0.0,2
1324,0.0,4
1325,0.0,11
1326,0.0,2
1327,0.0,9
1328,0.0,5
1329,0.0,2
1330,0.0,6
1331,0.0,4
1332,0.0,4
1333,0.0,6
1334,0.0,21
1335,0.0,17
1336,0.0,12
1337,0.0,9
1338,0.0,20
1339,0.0,5
1340,0.0,2
1341,0.0,12
1342,0.0,5
1343,0.0,9
1344,0.0,6
1345,0.0,10
1346,0.0,5
1347,0.0,4
1348,0.0,10
1349,0.0,10
1350,0.0,28
1351,0.0,2
1352,0.0,14
1353,0.0,8
1354,0.0,12
1355,0.0,4
1356,0.0,6
1357,0.0,5
1358,0.0,4
1359,0.0,13
1360,0.0,3
1361,0.0,6
1362,0.0,7
1363,0.0,14
1364,0.0,16
1365,1.0,10
1366,0.0,6
1367,0.0,6
1368,0.0,12
1369,0.0,2
1370,0.0,3
1371,0.0,6
1372,0.0,7
1373,0.0,12
1374,0.0,19
1375,0.0,6
1376,0.0,11
1377,0.0,6
1378,0.0,8
1379,0.0,10
1380,0.0,6
1381,0.0,2
1382,0.0,2
1383,0.0,4
1384,0.0,12
1385,0.0,7
1386,0.0,6
1387,0.0,4
1388,0.0,9
1389,0.0,3
1390,0.0,13
1391,0.0,5
1392,0.0,19
1393,0.0,3
1394,0.0,2
1395,0.0,6
1396,0.0,3
1397,0.0,24
1398,0.0,2
1399,0.0,6
1400,0.0,8
1401,0.0,22
1402,0.0,10
1403,0.0,10
1404,0.0,20
1405,0.0,8
1406,0.0,2
1407,0.0,10
1408,0.0,4
1409,0.0,6
1410,0.0,16
1411,0.0,7
1412,0.0,7
1413,0.0,21
1414,0.0,3
1415,0.0,5
1416,0.0,5
1417,0.0,5
1418,0.0,5
1419,0.0,5
1420,0.0,22
1421,0.0,8
1422,0.0,6
1423,0.0,4
1424,0.0,19
1425,0.0,7
1426,0.0,2
1427,0.0,2
1428,0.0,6
1429,0.0,8
1430,0.0,9
1431,0.0,4
1432,0.0,12
1433,0.0,4
1434,0.0,14
1435,0.0,2
1436,0.0,9
1437,0.0,5
1438,0.0,20
1439,0.0,3
1440,0.0,11
1441,0.0,4
1442,0.0,5
1443,0.0,7
1444,0.0,18
1445,0.0,5
1446,0.0,19
1447,0.0,7
1448,0.0,2
1449,0.0,9
1450,0.0,3
1451,0.0,4
1452,0.0,7
1453,0.0,7
1454,0.0,14
1455,0.0,12
1456,0.0,7
1457,0.0,3
1458,0.0,4
1459,0.0,4
1460,0.0,3
1461,0.0,9
1462,0.0,16
1463,0.0,2
1464,0.0,4
1465,0.0,3
